tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,date,category_raw,category
586413,165165,True,Sun Dec 03 15:22:01 +0000 2017,@Delta I do really appreciate the app notifications when bags have been loaded on the plane. Nice to have one less thing to worry about ;),586412,,2017-12-03,compliment,compliment
581584,243849,True,Sun Dec 03 12:03:39 +0000 2017,TYSM @Delta #472 for the fabulous flight #deltaone https://t.co/WZ7FiEmgZQ,581583,,2017-12-03,compliment,compliment
579518,256480,True,Sun Dec 03 11:13:05 +0000 2017,@Delta if my flight boards at 720 how early do I have to be there to check luggage I think I may be out of luck,579516,,2017-12-03,question,question
579527,256481,True,Sun Dec 03 11:01:33 +0000 2017,"@Delta No more nonstop service from LAX-CVG except a red eye?? What are you people thinking? If I have to connect, you’ve lost a customer. Pls reconsider. You were the only nonstop left...",579526,,2017-12-03,complaint,complaint
579530,256482,True,Sun Dec 03 10:50:29 +0000 2017,When @delta charges you $100 for an overweight bag because you packed a case of 🍾 but your entire fare for your BOS 🛫HNL trip is now only $200 &amp; they hooked you up with a window seat https://t.co/MEa7WFxDKE,579528,,2017-12-03,complaint,complaint
579532,256483,True,Sun Dec 03 10:48:48 +0000 2017,Terrific flight crew on my @Delta flight from Rio to Atlanta. They were the best.,579531,,2017-12-03,compliment,compliment
580211,256662,True,Sun Dec 03 11:21:01 +0000 2017,My husband is @Delta  Diamond and I'm Gold and we have 2 guests and we can't all get in the same lounge because his status is too high for @26938 at LHR despite @VirginAtlantic saying we could get in. #Furious #NotPayingForGuests #NotSplittingUp #Idiotic,580209,,2017-12-03,complaint,complaint
580960,256884,True,Sun Dec 03 12:06:39 +0000 2017,Heard back from @Delta days ago about missing MQMs/miles. They claimed they’d look into it and check...still waiting. Are they waiting til it’s too late for me to do a mile-run?,"580959,580961",,2017-12-03,complaint,complaint
581580,257060,True,Sun Dec 03 12:47:34 +0000 2017,@Delta hi! I'm trying to check in online but there seems to be an issue. Can you help? Attached is a photo. Thanks! https://t.co/5eSeoMH16T,"581579,581581,581582",,2017-12-03,category: question,question
581587,257061,True,Sun Dec 03 12:37:52 +0000 2017,@delta why send me a notification and an email saying I'm upgraded then 24 hours later I'm not upgraded?,581585,,2017-12-03,complaint,complaint
583157,257525,True,Sun Dec 03 13:27:49 +0000 2017,@Delta is there a dedicated Silver Medallion check in at JFK or can I use the SkyPriority check in area?,583156,,2017-12-03,question,question
581589,257062,True,Sun Dec 03 12:32:50 +0000 2017,Leaving #RIC for #CHS. @Delta looking good at the gate. https://t.co/fpjLuChO5T,581588,,2017-12-03,compliment,compliment
582316,257269,True,Sun Dec 03 13:12:35 +0000 2017,Thanks to @Delta employee for getting me off the standby list and assigning me a seat!,582315,,2017-12-03,compliment,compliment
582319,257270,True,Sun Dec 03 13:12:00 +0000 2017,"@Delta Hope that you will talk to supervisors about passenger service during boarding on fl 3385 this morning. Two minutes before boarding, agents refused to tell passengers their seats. Caused a woman with kids huge stress. It was just #lazy #NoGoodExcuse",582317,,2017-12-03,complaint,complaint
582323,257271,True,Sun Dec 03 12:59:40 +0000 2017,"@delta is there a way to revert/cancel a comfort+ upgrade? On Conf # HBLI4L at 1126 pm today, I’d prefer to be in my old seat.","582322,582324",,2017-12-03,question,question
583149,257521,True,Sun Dec 03 13:43:41 +0000 2017,Hey @Delta how do you handle a flight attendant that did not attempt to help a customer with lower back issues and knee problems on a 5hr flight who was denied assistance when unable to recline seat from baby seat in which child was never restrained. Flight 2222 ogg-lax 12/1,583148,,2017-12-03,complaint,complaint
583151,257522,True,Sun Dec 03 13:23:46 +0000 2017,"And away we go!  #la #theviewfrommylaptop #adventuresinsales #silverjeansco @delta @ New York,… https://t.co/u3BUV3x9Ww",583150,,2017-12-03,other,other
583153,257523,True,Sun Dec 03 13:05:23 +0000 2017,Sad to see @Delta leaving the Marine Air Terminal at Laguardia.  The best travel experience - it makes NYC seem like a small town https://t.co/Si0lU3nuNO,583152,,2017-12-03,compliment,compliment
578851,256296,True,Sun Dec 03 10:34:37 +0000 2017,As always @Delta provides excellent customer service! Brought a smile to my face and it’s 534am!! Thanks Chris! https://t.co/weJezxeJQA,"578850,578852,578853",,2017-12-03,compliment,compliment
578845,256295,True,Sun Dec 03 10:41:14 +0000 2017,"The dreaded ""mechanical irregularity"" has us grounded at CDG...here's hoping we get in the air soon. @Delta","578844,578846,578847,578848,578849",,2017-12-03,complaint,complaint
578187,256099,True,Sun Dec 03 09:48:43 +0000 2017,@Delta coming through once again this morning in Tampa⚡️ I love u guys🤩,578186,,2017-12-03,compliment,compliment
577479,255930,True,Sun Dec 03 08:51:35 +0000 2017,@Delta lost my new running watch in biz class trip frm Pdx to Ams. Seem to have slipped into the seat. Pls suggest what shd I do to report.,"577477,577484",,2017-12-03,complaint,complaint
574294,255078,True,Sun Dec 03 05:29:02 +0000 2017,@Delta can I please ask the reasoning for separating people upon online check in. Clearly there are seats available next to each.... my mother is a very nervous passenger. Can you please sort ASAP! RE: Case Number 00430505 https://t.co/XsqM2fi72O,574293,,2017-12-03,question,question
574296,255079,True,Sun Dec 03 04:56:14 +0000 2017,"@Delta Why dont you include active service men &amp; women for priority boarding? I flew FT from SRQ-ATL &amp; noticed omission.
#HonorThoseWhoServeTheFlag","574295,574297,574298",,2017-12-03,question,question
574303,255080,True,Sun Dec 03 06:28:00 +0000 2017,@Delta traveling on dec 10th o delta to Amsterdam but my able to choose better seat please help.,574302,,2017-12-03,question,question
574730,255198,True,Sun Dec 03 06:53:27 +0000 2017,Didn’t even fly with @Delta and they screw us at the airport. Take our gate and don’t have anyone to move their damn plane. Extra hour on the tarmac is so fun #dontflydelta,574729,,2017-12-03,complaint,complaint
575155,255006,True,Sun Dec 03 07:19:40 +0000 2017,@Delta I’d like to thank you for your help rearranging our flights after being stranded in Indonesia due to a volcanic eruption. Special thanks to Dave in SLC! #delta,575154,,2017-12-03,compliment,compliment
575157,255325,True,Sun Dec 03 07:15:07 +0000 2017,"@824 I'm arriving in HKG on Malaysia Airlines late the night of Dec 4th, then continuing on Delta flight to SEA on Dec 5th. Is there any way to have my checked bag transferred from Malaysia Airlines to Delta?",575156,,2017-12-03,question,question
575160,255326,True,Sun Dec 03 07:40:00 +0000 2017,"@824, is it true that in 2019 you're limiting Sky Club access for DL AmEx holders and paid Sky Club members to days with flights on @Delta or partners?  Say it ain't so.  CC:  @119782, @255328, @26617, @255327",575158,,2017-12-03,question,question
575723,255473,True,Sun Dec 03 07:35:15 +0000 2017,@Delta How many tries does one has to do to search for flights on your website? I have done the search like 20 times already. https://t.co/8qXkkZcqR4,575722,,2017-12-03,question,question
576244,255601,True,Sun Dec 03 08:19:58 +0000 2017,"@Delta Hi, issues in Bali, please help. Flight DL7873 DPS-ICN. What are the statuses for Dec. 3,4,5? Conflicting info on cancellations.",576243,,2017-12-03,question,question
576817,255753,True,Sun Dec 03 08:43:53 +0000 2017,@Delta  I have a couple of canceled flights. I thought I had an eCredit in at least one of them but is unable to find it. Can you help me check? I have the ticket numbers.,576816,,2017-12-03,question,question
577459,255927,True,Sun Dec 03 09:35:31 +0000 2017,@Delta in a couple hours....2 million!! https://t.co/6AQQC1QI5z,577458,,2017-12-03,other,other
577461,241237,True,Sun Dec 03 08:50:39 +0000 2017,I see the #supermoon from my window in  #Japan. And will see it again when I’m home back west. #Diazgoestojapan was a trip of a lifetime! Pretty sure I’m converted to @Delta #keepclimbing ✈️ https://t.co/ruMjyLPe6p,577460,,2017-12-03,compliment,compliment
577463,243414,True,Sun Dec 03 09:07:00 +0000 2017,@Delta in the Amsterdam airport for four hours because of the cancelled flight yesterday. We need 6 lounge vouchers for my family and i,577462,,2017-12-03,complaint,complaint
577465,255928,True,Sun Dec 03 09:22:07 +0000 2017,Omg can’t stand @Delta. Worst airline of all time!! Won’t fly them ever again. Last on my list! https://t.co/NaDKGUow4a,"577464,577466,577467,577468,577469",,2017-12-03,complaint,complaint
577471,255929,True,Sun Dec 03 09:10:36 +0000 2017,I can't stand @Delta customer service. Delta is clearly not about their customers. I need to change a flight and they make you pay almost 3x the worth of the flight. I'll never fly them again.,"577472,577470,577473,577474,577475,577476",,2017-12-03,complaint,complaint
